date,size_sqm,bedrooms,bathrooms,age,location,price
2026-03-08,105,1,1,0,Suburban,1179290
2026-03-15,122,2,1,29,Urban,1273108
2026-03-22,189,3,2,18,Urban,1891035
2026-03-29,63,3,1,17,Urban,845748
2026-04-05,140,1,1,16,Urban,1408089
2026-04-12,71,4,1,16,Rural,878492
2026-04-19,105,2,2,27,Rural,1235118
2026-04-26,152,2,1,11,Suburban,1437262
2026-05-03,121,3,1,11,Rural,1296469
2026-05-10,87,1,1,5,Rural,964845
2026-05-17,98,4,2,6,Rural,1187231
2026-05-24,140,3,1,7,Rural,1491106
2026-05-31,98,4,2,2,Rural,1195019
2026-06-07,126,1,1,16,Urban,1398004
2026-06-14,121,1,1,20,Suburban,1188056
2026-06-21,100,1,2,7,Rural,974938
2026-06-28,184,3,2,27,Rural,1760075
2026-07-05,139,1,2,26,Suburban,1426824
2026-07-12,59,3,2,29,Rural,816103
2026-07-19,125,3,2,10,Rural,1426106
2026-07-26,100,2,1,19,Suburban,1156087
2026-08-02,145,3,1,17,Urban,1543685
2026-08-09,96,3,2,15,Urban,1193545
2026-08-16,116,2,1,24,Suburban,1231233
2026-08-23,135,4,1,27,Urban,1621217
2026-08-30,145,2,2,12,Urban,1602041
2026-09-06,83,2,2,8,Urban,1174584
2026-09-13,109,1,2,18,Urban,1260538
2026-09-20,105,1,1,6,Rural,1107820
2026-09-27,100,2,2,28,Suburban,1096531
2026-10-04,172,1,1,16,Urban,1708075
2026-10-11,132,2,2,7,Urban,1473456
2026-10-18,82,1,2,7,Suburban,992317
2026-10-25,147,3,2,28,Rural,1525045
2026-11-01,183,1,2,2,Urban,1743376
2026-11-08,150,1,1,15,Urban,1589541
2026-11-15,74,3,1,11,Rural,954477
2026-11-22,105,2,1,14,Suburban,1118787
2026-11-29,158,1,2,20,Urban,1636088
2026-12-06,98,1,1,3,Urban,1093708
2026-12-13,133,3,1,22,Suburban,1477107
2026-12-20,143,3,1,26,Rural,1525582
2026-12-27,92,3,2,6,Suburban,1234981
2027-01-03,118,4,1,10,Urban,1426454
2027-01-10,22,3,2,23,Rural,530311
2027-01-17,89,2,2,4,Rural,1044223
2027-01-24,112,1,1,12,Rural,1127872
2027-01-31,82,1,1,10,Suburban,967638
2027-02-07,168,4,2,4,Suburban,1838532
2027-02-14,77,1,2,7,Suburban,924234
2027-02-21,106,1,2,20,Urban,1144810
2027-02-28,123,2,1,28,Suburban,1307062
2027-03-07,163,1,2,29,Rural,1549290
2027-03-14,76,2,2,28,Urban,940431
2027-03-21,154,4,2,16,Urban,1787528
2027-03-28,120,2,1,10,Urban,1445104
2027-04-04,90,3,2,18,Rural,1159129
2027-04-11,133,3,2,17,Suburban,1461490
2027-04-18,125,4,2,27,Rural,1421488
2027-04-25,101,1,2,9,Suburban,1235521
2027-05-02,122,2,2,4,Urban,1358315
2027-05-09,108,3,1,28,Urban,1316629
2027-05-16,123,2,1,23,Rural,1215595
2027-05-23,139,3,2,24,Suburban,1618701
2027-05-30,167,2,2,24,Urban,1717484
2027-06-06,82,1,2,0,Rural,1098952
2027-06-13,183,4,2,16,Rural,2000403
2027-06-20,61,1,2,16,Suburban,823178
2027-06-27,115,2,2,0,Suburban,1307029
2027-07-04,137,3,1,24,Suburban,1501238
2027-07-11,128,3,2,0,Urban,1518992
2027-07-18,101,4,2,22,Rural,1228421
2027-07-25,113,1,1,21,Suburban,1124094
2027-08-01,105,1,1,8,Rural,1103772
2027-08-08,102,1,1,26,Urban,1084476
2027-08-15,145,3,1,24,Urban,1616082
2027-08-22,130,4,2,3,Suburban,1610553
2027-08-29,99,3,1,8,Urban,1290534
2027-09-05,146,1,1,13,Rural,1467118
2027-09-12,129,2,1,14,Rural,1319854
2027-09-19,144,3,2,15,Urban,1641270
2027-09-26,138,4,2,15,Urban,1673138
2027-10-03,95,1,2,12,Urban,1116688
2027-10-10,103,2,1,13,Rural,1164449
2027-10-17,142,3,2,21,Urban,1597726
2027-10-24,138,2,1,20,Suburban,1548618
2027-10-31,119,2,1,8,Suburban,1380577
2027-11-07,123,4,1,22,Rural,1432957
2027-11-14,158,3,1,8,Urban,1645165
2027-11-21,102,4,2,20,Urban,1348141
2027-11-28,136,1,2,3,Urban,1488249
2027-12-05,113,2,2,9,Suburban,1312317
2027-12-12,113,4,2,2,Suburban,1356829
2027-12-19,152,4,1,20,Suburban,1627111
2027-12-26,144,1,1,8,Suburban,1488599
2028-01-02,144,3,1,18,Suburban,1628217
2028-01-09,159,4,1,15,Rural,1679473
2028-01-16,120,2,1,15,Rural,1277503
2028-01-23,140,2,2,16,Urban,1645054
2028-01-30,110,2,2,17,Urban,1299658
2028-02-06,129,2,1,9,Suburban,1416560
2028-02-13,116,4,1,20,Urban,1421737
2028-02-20,122,2,2,18,Rural,1272724
2028-02-27,137,4,2,21,Rural,1583089
2028-03-05,95,3,1,14,Urban,1190356
2028-03-12,182,2,2,14,Suburban,1867996
2028-03-19,89,3,2,10,Rural,1166218
2028-03-26,83,4,1,7,Urban,1289627
2028-04-02,154,1,1,21,Suburban,1487111
2028-04-09,143,3,2,15,Urban,1680749
2028-04-16,138,2,2,9,Suburban,1573436
2028-04-23,138,1,1,8,Suburban,1420589
2028-04-30,119,3,2,14,Rural,1408975
2028-05-07,93,4,2,21,Rural,1289671
2028-05-14,122,4,2,29,Urban,1455751
2028-05-21,99,4,1,4,Urban,1342573
2028-05-28,149,3,2,19,Suburban,1671240
2028-06-04,115,4,2,1,Rural,1452208
2028-06-11,95,3,1,21,Suburban,1224464
2028-06-18,110,2,1,15,Suburban,1276815
2028-06-25,132,2,2,17,Suburban,1496671
2028-07-02,103,3,1,15,Suburban,1217926
2028-07-09,95,3,1,4,Suburban,1230200
2028-07-16,127,1,2,0,Suburban,1392682
2028-07-23,127,4,1,18,Urban,1469508
2028-07-30,104,2,2,9,Rural,1200042
2028-08-06,105,2,2,20,Rural,1225472
2028-08-13,126,1,1,28,Suburban,1346289
2028-08-20,76,3,2,12,Suburban,1023577
2028-08-27,77,3,2,22,Suburban,1028616
2028-09-03,98,1,2,23,Rural,1138232
2028-09-10,113,4,2,22,Rural,1399907
2028-09-17,129,3,2,22,Suburban,1537355
2028-09-24,164,3,1,10,Rural,1795891
2028-10-01,145,4,1,14,Suburban,1684894
2028-10-08,115,4,2,1,Suburban,1453759
2028-10-15,119,1,2,5,Suburban,1354742
2028-10-22,89,1,1,20,Urban,1162494
2028-10-29,119,1,2,10,Rural,1438222
2028-11-05,111,3,2,14,Rural,1351654
2028-11-12,129,1,2,8,Rural,1411777
2028-11-19,95,3,1,11,Suburban,1253785
2028-11-26,135,2,2,25,Urban,1521189
2028-12-03,165,4,1,26,Suburban,1856692
2028-12-10,116,4,2,3,Suburban,1533402
2028-12-17,132,2,2,27,Suburban,1481218
2028-12-24,140,1,1,22,Urban,1472099
2028-12-31,107,3,1,26,Suburban,1210465
2029-01-07,126,3,2,23,Suburban,1511620
2029-01-14,120,3,2,13,Urban,1488142
2029-01-21,122,4,2,21,Suburban,1461111
2029-01-28,96,1,1,2,Suburban,1092003
2029-02-04,120,3,2,26,Rural,1416071
2029-02-11,134,3,1,20,Urban,1467438
2029-02-18,163,3,2,16,Rural,1762982
2029-02-25,148,2,2,29,Suburban,1634677
2029-03-04,184,3,2,12,Urban,2022494
2029-03-11,96,2,2,7,Urban,1231963
2029-03-18,146,3,2,11,Suburban,1601531
2029-03-25,125,3,2,11,Rural,1485850
2029-04-01,185,3,2,11,Suburban,2037026
2029-04-08,95,2,1,26,Urban,1148863
2029-04-15,94,3,2,1,Urban,1325345
2029-04-22,102,1,2,28,Suburban,1259575
2029-04-29,56,3,2,9,Suburban,967942
2029-05-06,104,2,2,22,Suburban,1239655
2029-05-13,97,2,1,8,Suburban,1254042
2029-05-20,124,1,1,0,Rural,1307621
2029-05-27,130,4,2,28,Rural,1452090
2029-06-03,176,1,2,3,Rural,1826116
2029-06-10,148,1,1,22,Rural,1473691
2029-06-17,102,2,1,13,Urban,1248673
2029-06-24,93,3,1,15,Urban,1207652
2029-07-01,134,3,2,24,Rural,1485859
2029-07-08,80,4,1,17,Suburban,1222151
2029-07-15,174,4,1,1,Urban,2049624
2029-07-22,155,4,2,5,Suburban,1896748
2029-07-29,105,4,2,2,Rural,1428006
2029-08-05,68,1,2,19,Urban,987313
2029-08-12,160,1,1,18,Urban,1600885
2029-08-19,116,3,1,12,Urban,1423623
2029-08-26,157,1,1,16,Urban,1761337
2029-09-02,72,3,1,13,Rural,988218
2029-09-09,102,3,2,29,Urban,1394207
2029-09-16,120,3,1,21,Rural,1381751
2029-09-23,121,3,2,10,Urban,1375592
2029-09-30,106,2,1,15,Rural,1262024
2029-10-07,138,3,1,10,Rural,1609812
2029-10-14,87,1,1,28,Suburban,1040550
2029-10-21,115,1,2,17,Rural,1341152
2029-10-28,123,1,1,1,Suburban,1302608
2029-11-04,135,1,2,22,Urban,1431221
2029-11-11,141,2,2,20,Suburban,1583243
2029-11-18,86,4,2,7,Rural,1243355
2029-11-25,73,4,2,13,Suburban,1211828
2029-12-02,158,3,1,1,Urban,1830446
2029-12-09,129,3,1,12,Suburban,1455318
2029-12-16,97,1,2,9,Rural,1166152
2029-12-23,166,1,2,7,Rural,1742036
2029-12-30,123,4,1,6,Urban,1466788
2030-01-06,155,4,1,12,Urban,1802818
2030-01-13,122,1,2,25,Suburban,1348720
2030-01-20,181,3,1,29,Urban,1897265
2030-01-27,172,2,1,23,Rural,1775438
2030-02-03,112,2,1,26,Suburban,1247515
2030-02-10,149,4,2,18,Suburban,1768343
2030-02-17,139,4,2,23,Suburban,1685974
2030-02-24,161,4,2,14,Suburban,1906688
2030-03-03,91,2,2,21,Urban,1152829
2030-03-10,140,2,2,1,Suburban,1536238
2030-03-17,151,1,1,21,Suburban,1593945
2030-03-24,67,3,1,4,Suburban,1028186
2030-03-31,84,4,1,18,Rural,1306132
2030-04-07,58,1,2,0,Rural,892424
2030-04-14,111,2,1,6,Urban,1374908
2030-04-21,141,1,2,17,Rural,1491858
2030-04-28,165,2,2,0,Rural,1716096
2030-05-05,122,3,2,0,Urban,1581694
2030-05-12,168,2,2,6,Urban,1856042
2030-05-19,78,1,2,27,Suburban,1014584
2030-05-26,68,3,2,16,Suburban,1065722
2030-06-02,118,2,1,24,Urban,1406560
2030-06-09,131,4,2,5,Suburban,1551037
2030-06-16,119,2,1,19,Suburban,1426351
2030-06-23,57,3,2,11,Suburban,942677
2030-06-30,117,1,1,19,Urban,1342598
2030-07-07,80,3,2,14,Rural,1188295
2030-07-14,140,1,2,12,Rural,1597472
2030-07-21,130,2,1,11,Urban,1435975
2030-07-28,91,2,2,29,Urban,1205012
2030-08-04,104,3,2,20,Suburban,1359645
2030-08-11,88,4,1,1,Urban,1231123
2030-08-18,118,2,1,20,Urban,1449129
2030-08-25,148,4,2,17,Urban,1791313
2030-09-01,90,4,1,27,Urban,1281707
2030-09-08,135,3,1,3,Suburban,1554622
2030-09-15,104,2,2,9,Suburban,1341644
2030-09-22,96,4,1,10,Urban,1397411
2030-09-29,116,2,2,29,Urban,1414364
2030-10-06,88,1,1,20,Rural,1026803
2030-10-13,103,4,2,5,Rural,1361196
2030-10-20,84,3,2,5,Urban,1262519
2030-10-27,178,3,2,8,Rural,1930439
2030-11-03,121,4,1,19,Rural,1515741
2030-11-10,99,2,2,12,Suburban,1254987
2030-11-17,126,1,1,29,Suburban,1320580
2030-11-24,116,1,2,4,Suburban,1399969
2030-12-01,113,3,2,5,Rural,1392623
2030-12-08,138,3,2,3,Urban,1730184
2030-12-15,142,2,1,5,Suburban,1609876
2030-12-22,104,3,2,17,Rural,1354740
2030-12-29,102,2,2,27,Urban,1255784
2031-01-05,111,4,1,12,Suburban,1456169
2031-01-12,50,1,2,22,Rural,746536
2031-01-19,74,4,2,2,Suburban,1142981
2031-01-26,161,3,1,29,Rural,1683444
2031-02-02,169,1,1,9,Suburban,1743776
2031-02-09,112,1,1,3,Rural,1349734
2031-02-16,137,4,2,24,Urban,1667452
2031-02-23,129,2,1,14,Suburban,1428922
2031-03-02,212,1,2,11,Suburban,2149573
2031-03-09,153,2,2,14,Rural,1676959
2031-03-16,116,4,1,28,Urban,1467397
2031-03-23,91,4,1,20,Urban,1300438
2031-03-30,71,2,2,24,Suburban,1089811
2031-04-06,126,4,1,25,Rural,1543035
2031-04-13,97,1,1,28,Suburban,1191211
2031-04-20,77,4,2,25,Rural,1089316
2031-04-27,100,4,1,9,Urban,1549327
2031-05-04,87,1,1,11,Suburban,1170062
2031-05-11,170,2,1,25,Rural,1789851
2031-05-18,146,4,2,21,Urban,1722284
2031-05-25,119,2,1,7,Rural,1440386
2031-06-01,164,1,1,20,Suburban,1692443
2031-06-08,122,2,2,20,Rural,1412286
2031-06-15,94,2,2,2,Suburban,1190461
2031-06-22,165,3,2,6,Urban,1852925
2031-06-29,136,3,2,17,Rural,1613427
2031-07-06,88,4,1,26,Urban,1330311
2031-07-13,114,3,2,27,Urban,1500745
2031-07-20,93,3,2,2,Suburban,1351540
2031-07-27,78,3,1,14,Suburban,1142261
2031-08-03,147,2,2,1,Urban,1713664
2031-08-10,177,2,2,14,Suburban,1932944
2031-08-17,78,3,1,12,Urban,1222070
2031-08-24,136,1,2,23,Suburban,1523743
2031-08-31,100,3,2,19,Suburban,1404512
2031-09-07,105,1,1,9,Rural,1223746
2031-09-14,102,2,1,23,Rural,1183986
2031-09-21,94,1,1,23,Suburban,1158981
2031-09-28,121,2,1,23,Urban,1461298
2031-10-05,95,1,1,23,Urban,1194398
2031-10-12,128,2,1,7,Urban,1609032
2031-10-19,118,2,1,15,Suburban,1459765
2031-10-26,112,3,1,27,Suburban,1326452
2031-11-02,92,4,1,24,Urban,1401218
2031-11-09,102,4,1,15,Rural,1215929
2031-11-16,142,2,1,1,Rural,1709051
2031-11-23,135,3,1,8,Urban,1637634
2031-11-30,90,4,2,7,Suburban,1335021
2031-12-07,122,4,1,10,Suburban,1561999
2031-12-14,142,3,1,25,Urban,1694760
2031-12-21,69,3,1,0,Rural,1071986
2031-12-28,136,4,1,29,Urban,1663830
2032-01-04,100,4,1,20,Urban,1466445
2032-01-11,137,1,2,10,Urban,1625779
2032-01-18,97,1,2,17,Rural,1146059
2032-01-25,65,2,2,25,Urban,1079533
2032-02-01,71,4,2,20,Rural,1157205
2032-02-08,121,3,1,28,Suburban,1448236
2032-02-15,127,3,2,14,Rural,1581606
2032-02-22,92,4,2,23,Rural,1286621
2032-02-29,139,2,1,8,Urban,1629916
2032-03-07,70,3,2,8,Suburban,1127054
2032-03-14,118,4,2,0,Urban,1498594
2032-03-21,83,4,1,6,Rural,1202165
2032-03-28,100,2,1,11,Rural,1290658
2032-04-04,121,4,2,26,Urban,1592379
2032-04-11,94,3,1,23,Suburban,1209740
2032-04-18,108,1,2,9,Rural,1352731
2032-04-25,150,2,1,18,Rural,1628069
2032-05-02,102,4,2,28,Rural,1308421
2032-05-09,145,2,2,15,Suburban,1790300
2032-05-16,86,4,2,5,Urban,1305841
2032-05-23,135,1,1,10,Suburban,1574974
2032-05-30,163,2,1,18,Suburban,1751034
2032-06-06,45,4,2,24,Rural,930791
2032-06-13,96,1,1,28,Suburban,1139390
2032-06-20,137,3,1,18,Rural,1531034
2032-06-27,113,4,2,17,Suburban,1549610
2032-07-04,131,1,1,24,Suburban,1494264
2032-07-11,101,1,1,14,Urban,1341732
2032-07-18,122,2,2,26,Suburban,1477280
2032-07-25,115,4,2,28,Urban,1660517
2032-08-01,155,3,1,15,Rural,1759417
2032-08-08,127,4,1,13,Rural,1604838
2032-08-15,130,1,1,7,Urban,1465078
2032-08-22,107,3,2,7,Rural,1378795
2032-08-29,105,1,1,1,Rural,1301983
2032-09-05,107,2,1,5,Suburban,1370288
2032-09-12,131,4,1,12,Urban,1692384
2032-09-19,107,1,1,12,Rural,1230675
2032-09-26,128,1,1,20,Urban,1500097
2032-10-03,182,4,1,29,Suburban,2034427
2032-10-10,146,3,2,11,Rural,1657978
2032-10-17,110,1,2,1,Rural,1381627
2032-10-24,156,4,2,20,Urban,1814996
2032-10-31,107,2,1,19,Rural,1319711
2032-11-07,58,2,1,24,Urban,1067279
2032-11-14,89,4,2,11,Rural,1347527
2032-11-21,63,1,2,16,Suburban,1019714
2032-11-28,109,4,2,5,Suburban,1481628
2032-12-05,120,4,2,6,Urban,1731453
2032-12-12,170,1,2,27,Rural,1850335
2032-12-19,129,3,1,5,Rural,1525820
2032-12-26,113,3,1,20,Urban,1456761
2033-01-02,144,2,1,27,Suburban,1697732
2033-01-09,53,3,1,3,Suburban,1095307
2033-01-16,127,4,1,20,Suburban,1550765
2033-01-23,143,1,2,8,Urban,1626314
2033-01-30,75,2,2,4,Suburban,1153810
2033-02-06,154,3,1,9,Urban,1724945
2033-02-13,130,4,2,14,Suburban,1682952
2033-02-20,107,2,1,7,Suburban,1441787
2033-02-27,138,1,1,22,Urban,1509068
2033-03-06,188,3,2,3,Rural,2085855
2033-03-13,125,4,1,25,Rural,1522911
2033-03-20,127,1,1,4,Rural,1542497
2033-03-27,106,4,1,6,Suburban,1450510
2033-04-03,94,4,2,5,Suburban,1491449
2033-04-10,144,4,2,12,Rural,1732127
2033-04-17,94,1,1,18,Suburban,1249058
2033-04-24,122,2,1,9,Suburban,1515597
2033-05-01,105,4,2,14,Rural,1440586
2033-05-08,134,2,2,2,Urban,1634473
2033-05-15,130,2,2,17,Rural,1558654
2033-05-22,151,3,2,13,Rural,1746973
2033-05-29,104,3,1,2,Urban,1421011
2033-06-05,111,2,1,10,Suburban,1489636
2033-06-12,90,3,1,9,Rural,1287876
